batch_id,run_id,final_status,normalized_status,final_stage,attempt_count,rule_duration_sec,full_duration_sec,final_pending,strict_success,normalized_success,strict_normalized_delta,frozen_status
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0021,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,12.32,17.082,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0022,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,11.595,18.006,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0023,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,9.871,17.04,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0024,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,8.074,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0025,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,6.709,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0026,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,11.567,23.943,True,False,False,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0027,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,11.23,15.616,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0028,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,11.36,24.176,True,False,False,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0029,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,8.953,60.964,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0030,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,7.649,10.511,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0031,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,6.888,12.095,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0032,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,11.163,28.393,True,False,False,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0033,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,13.917,12.381,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0034,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,12.675,29.619,True,False,False,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0035,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,7.41,10.569,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0036,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,8.072,13.371,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0037,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,7.495,12.06,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0038,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,7.427,17.234,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0039,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,11.333,147.012,True,False,False,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0040,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,6.006,16.304,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0041,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,5.294,32.114,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0042,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,5.543,15.795,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0043,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,8.324,19.348,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0044,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,10.425,23.185,True,False,False,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0045,humantime_gemini-2.5-flash-nothinking_20251109_134926,full_runtime_failed,normalized_runtime_failed,full,1,0.126,4.075,True,False,False,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0046,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,10.707,214.961,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0047,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,6.612,14.402,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0048,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,6.215,56.715,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0049,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,6.822,189.873,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0050,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,5.875,13.088,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0051,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,9.951,28.311,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0052,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,5.934,13.063,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0053,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,6.037,92.802,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0054,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,7.418,13.129,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0055,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,7.484,14.705,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0056,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,10.557,87.227,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0057,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,11.364,26.638,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0058,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,7.406,22.175,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0059,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,7.334,13.138,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0060,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,6.587,14.587,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0061,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,10.988,94.489,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0062,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,7.277,11.751,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0063,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,6.987,12.842,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0064,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,7.488,12.516,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0065,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,6.878,18.245,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0066,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,6.934,10.087,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0067,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,7.34,122.525,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0068,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,7.091,10.792,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0069,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,7.36,13.038,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0070,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,6.469,13.12,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0071,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,6.488,12.924,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0072,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,6.616,14.269,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0073,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,5.735,33.473,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0074,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,4.996,20.537,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0075,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,6.894,22.942,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0076,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,7.046,24.547,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0077,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,8.791,29.281,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0078,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,9.538,24.966,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0079,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,8.053,77.709,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0080,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,5.036,21.764,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0081,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,6.655,23.707,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0082,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,5.612,22.151,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0083,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,7.007,27.567,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0084,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,9.416,24.762,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0085,humantime_gemini-2.5-flash-nothinking_20251109_134926,unresolved_after_full,normalized_unresolved,full,1,8.978,26.855,True,False,False,0,frozen_unresolved
humantime_rugae_base4_humantime_replay::batch_0001,humantime_rugae_base4_humantime_replay,resolved_by_full,normalized_resolved,full,1,4.946,14.949,False,True,True,0,frozen_cleared
humantime_rugae_base4_humantime_replay::batch_0002,humantime_rugae_base4_humantime_replay,unresolved_after_full,normalized_unresolved,full,1,10.467,19.837,True,False,False,0,frozen_unresolved
humantime_rugae_base4_humantime_replay::batch_0003,humantime_rugae_base4_humantime_replay,unresolved_after_full,normalized_unresolved,full,1,6.668,16.651,True,False,False,0,frozen_cleared
humantime_rugae_base4_humantime_replay::batch_0004,humantime_rugae_base4_humantime_replay,frozen_nonreproducible,normalized_resolved,repro,1,,,True,False,True,1,frozen_cleared
humantime_rugae_base4_humantime_replay::batch_0005,humantime_rugae_base4_humantime_replay,frozen_nonreproducible,normalized_resolved,repro,1,,,True,False,True,1,frozen_cleared
humantime_rugae_base4_humantime_replay::batch_0006,humantime_rugae_base4_humantime_replay,resolved_by_rule,normalized_resolved,rule,1,5.658,,False,True,True,0,frozen_cleared
humantime_rugae_base4_humantime_replay::batch_0007,humantime_rugae_base4_humantime_replay,unresolved_after_full,normalized_unresolved,full,1,4.372,29.581,True,False,False,0,frozen_unresolved
humantime_rugae_base4_humantime_replay::batch_0008,humantime_rugae_base4_humantime_replay,resolved_by_full,normalized_resolved,full,1,5.512,6.822,False,True,True,0,frozen_cleared
humantime_rugae_base4_humantime_replay::batch_0009,humantime_rugae_base4_humantime_replay,resolved_by_full,normalized_resolved,full,1,4.538,6.823,False,True,True,0,frozen_cleared
humantime_rugae_base4_humantime_replay::batch_0010,humantime_rugae_base4_humantime_replay,unresolved_after_full,normalized_unresolved,full,1,4.983,62.894,True,False,False,0,frozen_unresolved
humantime_rugae_base4_humantime_replay::batch_0011,humantime_rugae_base4_humantime_replay,unresolved_after_full,normalized_unresolved,full,1,5.289,58.818,True,False,False,0,frozen_unresolved
humantime_rugae_hybrid4_humantime_replay::batch_0001,humantime_rugae_hybrid4_humantime_replay,resolved_by_full,normalized_resolved,full,1,4.611,10.441,False,True,True,0,frozen_cleared
humantime_rugae_hybrid4_humantime_replay::batch_0002,humantime_rugae_hybrid4_humantime_replay,unresolved_after_full,normalized_unresolved,full,1,7.587,20.333,True,False,False,0,frozen_unresolved
